Date,DAI_borrowRate,ETH_borrowRate,USDC_borrowRate,USDT_borrowRate,DAI_cash,ETH_cash,USDC_cash,USDT_cash,DAI_collateralFactor,ETH_collateralFactor,USDC_collateralFactor,USDT_collateralFactor,DAI_reserves,ETH_reserves,USDC_reserves,USDT_reserves,DAI_supplyRate,ETH_supplyRate,USDC_supplyRate,USDT_supplyRate,DAI_totalBorrows,ETH_totalBorrows,USDC_totalBorrows,USDT_totalBorrows,DAI_totalSupply,ETH_totalSupply,USDC_totalSupply,USDT_totalSupply,DAI_reserveFactor,ETH_reserveFactor,USDC_reserveFactor,USDT_reserveFactor
2022-06-10,0.0233583014408472,0.022639599922611598,0.0185934107596422,0.031955104966364396,392319155.85075015,751396.5382699744,738061487.3246728,206468433.369733,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20947937.471225213,704.0339602977812,13260834.739447499,3066006.9640555833,0.009275404778025,0.0004785293899206,0.006395790915213,0.0188910736196526,325600172.43599814,20365.14199051473,429093677.81572014,360187921.8327193,31655648858.328068,38429281.569461696,51026933111.82365,25777210456.929703,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-11,0.023197341939105,0.022513162481839797,0.018800469936672,0.0315667295265432,390612711.3052868,772798.932452029,734078166.9117694,210570094.458164,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20951170.299623143,704.2909402621646,13262535.413516792,3068324.7351413746,0.009148981593978001,0.000453049495602,0.0065393322777972,0.0184363930618512,320004626.3650351,19922.494214416034,434354500.8029211,355353209.73363274,31323039156.20964,39473844.66109149,51082424317.42654,25742269456.4084,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-12,0.023305928628513,0.022596324128107203,0.0183718308611088,0.0321547525794798,381536116.87942034,764862.4652316561,743022202.0035623,194783436.68318903,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20954281.75670295,704.5442567760189,13264215.959736124,3070659.5016081245,0.0092354972946684,0.0004697942474718,0.0062447326494078,0.0191322977560338,314809992.47092825,20375.828304015016,423902239.4423917,345120853.17449754,30673947993.48569,39100825.53994844,51014739965.864586,24550905674.238903,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-13,0.022902120137847603,0.0224586778510602,0.0169860799814682,0.031919450484645,381613394.4877294,693010.645856624,730334092.4504212,192178547.32305434,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20957384.66871765,704.7929099076606,13265692.442305125,3072987.3036618545,0.0089184407128812,0.00044392412502480003,0.0053439994524522,0.0188538083031432,304717620.8458376,17492.062999327933,368372451.6255009,333808508.67524534,30218192510.20462,35375976.47498358,47997329108.56013,23913027269.411716,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-14,0.0234716429333814,0.021636094794205796,0.0166514261062152,0.029237998436237398,356012497.21634334,668683.5777371618,661056887.7562162,210833544.35415635,0.8249999999999998,0.8249999999999998,0.8378125,0.0,20960265.810567915,704.9608733031127,13266867.684842542,3074988.5932503543,0.0093663936241896,0.0002836706213352,0.005131957251783,0.015836696151702,296429659.214683,11122.427483901318,323271603.25544196,292802955.37921757,28678268826.97259,33846026.7587907,42938950433.770836,22889731961.63737,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-15,0.0237879640723908,0.0215974826507352,0.0173381425030176,0.0283089830473746,342862820.1335915,657295.5019744526,598054658.0185899,215645151.13533708,0.8249999999999998,0.8249999999999998,0.84,0.0,20963183.191060502,705.0864528926728,13267986.195608603,3076641.4849270624,0.009620879281174199,0.0002763249922764,0.0055628492283072,0.0148310653652772,292059945.0779137,10663.11683052982,310186225.900976,277408430.98564273,27881786457.430035,33255528.716215674,39573835065.355,22404802080.606632,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-16,0.023746975922189998,0.0218373883461468,0.0175811671610388,0.0287184120369534,348955586.88485235,637235.4402396713,574504027.9518656,207862487.81337282,0.8249999999999998,0.8249999999999998,0.84,0.0,20966974.891716134,705.2205115293559,13269098.490761416,3078278.89524,0.0095918470844784,0.0003214068638376,0.0057197496438894,0.0152592527998998,296520968.03658354,11927.76046203963,304369506.7819131,276282549.63361615,28360138787.42573,32318742.600675017,38274616029.53251,21996451541.477932,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-17,0.0260012083901376,0.0219574814667252,0.016261040570733,0.0298936453600236,299737766.48043865,643476.4859597144,606858351.521275,192235808.7019417,0.8249999999999998,0.8249999999999998,0.84,0.0,20970070.088580042,705.3730216682978,13270166.93939825,3079962.3787273336,0.011534976500049,0.00034423284524400004,0.0049288281158639995,0.0165463625775114,301992120.1323544,12847.215714613201,285884966.5966084,280949848.5858565,26372623532.925278,32675579.381903186,38887260388.53203,21494331994.77753,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-18,0.029269810558533,0.022157501653284003,0.012297968307381599,0.0339938964722094,269756687.91212183,631152.63538382,684760260.3082418,137815694.87763146,0.8249999999999998,0.8249999999999998,0.84,0.0,20974103.341973588,705.5395003024252,13270920.085891956,3081821.0355499587,0.0145857337888062,0.00038299755445140004,0.002811785386701,0.021445790225929198,350662314.8359656,13917.539489118783,218945689.97397384,283589730.0951874,27220079577.84311,32114670.01597024,39371545155.695656,19125766490.184193,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-19,0.0268324408150248,0.0219343038850236,0.010576205998643999,0.0371639279612232,309003152.5850517,649301.0363119481,719489375.6495925,103900598.57615893,0.8249999999999998,0.8249999999999998,0.84,0.0,20978390.384109538,705.6987346310631,13271393.071617542,3083931.538827188,0.012239909373178199,0.0003398060286942,0.0020693672115624,0.0255514681146654,333617478.8368162,12807.409235754994,189457310.4644041,291892434.62133706,28227025402.911076,32963804.943575412,39602990515.43486,17953483858.248817,1.5e+17,2e+17,7.5e+16,7.5e+16
